word,count,language
upgraded,1121,Python
tidy,1534,Python
feat,289,Python
clear,3903,JavaScript
improved,3149,Shell
cleared,342,PHP
simplify,6007,JavaScript
ready,1732,Ruby
favor,27,Java
fun,128,Python
correct,991,C#
upgraded,519,C++
ready,1341,Python
consistent,298,Java
simplify,2072,PHP
well,270,C++
simplify,1042,Shell
cool,259,Ruby
available,54,Python
properly,2044,Python
stable,789,Java
awards,38,JavaScript
cleaner,747,Python
recover,137,C++
fine,281,PHP
protect,230,C++
lovely,43,JavaScript
enhanced,823,PHP
stability,76,Java
improved,4146,C#
work,4880,PHP
important,441,Java
tidy,945,C
proper,1206,C++
pure,55,C
simplest,49,Ruby
improves,516,Python
fancy,465,JavaScript
fast,455,JavaScript
prompt,403,Shell
backbone,1310,JavaScript
beautiful,61,Python
better,5621,C
refine,202,Shell
restructured,611,C++
integrated,1747,Java
ease,19,C
awesome,280,Ruby
clean-up,248,C
successful,147,Ruby
ready,253,C#
consistent,589,JavaScript
worked,1088,C
correct,5869,C
yay,1167,JavaScript
consistent,57,C#
woo,162,Java
simplified,1773,PHP
wow,535,JavaScript
dynamic,555,Python
significant,121,C++
works,748,C++
integrated,2296,JavaScript
patient,151,Java
patient,182,JavaScript
super,673,JavaScript
top,1246,JavaScript
enhanced,245,Shell
enhancement,1482,PHP
refine,1831,JavaScript
improving,2077,Python
feat($parse,47,JavaScript
simpler,511,Python
successfully,496,Java
robust,22,C++
relaxed,83,Java
magic,172,PHP
shiny,48,JavaScript
dynamic,950,Java
fine,50,C#
clearer,42,Shell
welcome,394,PHP
succes,12,JavaScript
master,1191,Ruby
enhance,1462,JavaScript
smooth,29,Objective-C
glow,45,Java
enhanced,592,Ruby
work,1004,Shell
recover,123,Python
progress,362,Objective-C
pretty,827,Ruby
hero,48,Python
clear,1132,C
wow,144,C
clear,406,C#
upgraded,297,Objective-C
faster,337,C
well,317,C
heal,32,Java
awesome,57,Objective-C
holy,272,JavaScript
tidy,989,C++
success,231,Java
advanced,484,JavaScript
rapid,33,PHP
clearly,29,Java
refined,687,Ruby
like,256,Ruby
supporting,234,Ruby
refine,1025,Java
fav,46,PHP
integrated,828,Ruby
restructured,2054,JavaScript
decent,75,JavaScript
improvement,49,Objective-C
properly,1260,C++
works,823,Ruby
reconcile,182,Java
restructured,1245,Java
important,68,Shell
supports,350,JavaScript
improves,877,JavaScript
master,1265,PHP
successfully,542,JavaScript
worked,840,C#
free,1097,C
properly,1673,Java
nice,156,C
polished,465,Java
rich,86,JavaScript
ready,2658,JavaScript
prompt,333,JavaScript
stable,471,C++
silent,80,Shell
respect,356,PHP
proper,1842,Python
restructured,532,Ruby
support,2289,Shell
well,500,Java
progress,1345,Python
dynamic,234,C#
master,2150,JavaScript
nice,815,JavaScript
graceful,29,Java
refined,207,C#
yay,108,C#
restructured,1197,Python
simplified,2685,Python
cleaner,326,C++
prompt,67,C
boost,1150,C++
restored,662,C
simplify,2965,Java
feat(lua,68,C++
excel,233,PHP
backbone,368,Ruby
magic,167,Ruby
simplifies,67,Java
fun,222,Ruby
interesting,41,JavaScript
top,348,Java
proper,1473,Ruby
correctly,217,Shell
important,406,JavaScript
improvements,604,C
flexible,80,PHP
significant,58,C
clean,2359,C#
works,192,Objective-C
improvements,2991,JavaScript
works,660,C
integrated,903,Python
well,373,Ruby
cleaner,325,C
fast,426,Python
good,488,Python
refresh,779,Ruby
simplified,1386,C++
super,255,Python
respect,226,Java
smart,139,Ruby
refresh,342,Objective-C
awesome,537,JavaScript
fine-tuned,72,JavaScript
correctly,1732,JavaScript
safe,207,Python
restructuring,465,Java
improving,1823,Ruby
quiet,114,Shell
supports,173,Python
proper,1215,PHP
refresh,1391,Java
backbone-sources,15,Shell
fast,46,Shell
quiet,153,C
grin,16,Java
fancy,153,Python
dynamic,1901,JavaScript
build/win,29,C
slick,84,JavaScript
yay,517,Python
restored,847,Ruby
compatible,74,C
clear,1245,C++
improvements,1811,Python
nice,48,C#
happy,112,Python
excel,290,JavaScript
better,2318,Objective-C
refine,870,Python
worked,1424,PHP
fancier,36,Ruby
tidy,1551,Java
restored,1778,JavaScript
simplified,521,Shell
led,52,C++
lead,58,PHP
patient,114,PHP
work,1509,C#
likes,141,Ruby
restored,822,PHP
responsive,1503,PHP
fun,112,PHP
restructured,664,PHP
super,463,Java
refine,523,C
honor,197,C
recomend,33,Python
fine,825,Java
master,262,Objective-C
nicer,732,Python
hot,507,JavaScript
revive,39,JavaScript
worked,1080,C++
refined,954,Java
wow,50,Objective-C
top,720,PHP
simplified,703,C#
master,219,C#
support,2246,C#
cool,367,Python
properly,396,Shell
pretty,108,C#
restful,113,Ruby
wd-work,78,JavaScript
cleared,209,C++
refresh,283,C#
successful,202,JavaScript
refined,1245,JavaScript
beautify,127,PHP
right,312,Python
recovery,122,C++
sublime,91,PHP
restructured,438,C
reformed,21,JavaScript
rectify,26,Ruby
award,24,Python
improving,527,C
hot,281,Ruby
fresh,252,PHP
well,487,Python
integrated,790,PHP
adaptive,62,C
successfully,401,Ruby
fun,377,JavaScript
like,517,JavaScript
proper,314,C#
fancy,181,Ruby
supported,206,C++
simplified,1109,C
improving,1562,PHP
feat(release,28,JavaScript
led,166,Java
capability,14,Python
available,52,PHP
enhanced,322,C++
clean-up,69,Objective-C
bloom,114,C
feat(osx,16,Shell
usable,22,C++
gem,687,JavaScript
approve,51,PHP
promises,73,JavaScript
simplify,339,Objective-C
cool,56,C#
cleaner,501,Java
smoother,45,Python
fine,154,C++
refreshed,221,JavaScript
correctly,1160,Java
gems,1092,Ruby
advanced,61,C#
important,193,C++
thank,133,Ruby
good,107,Shell
refine,1205,Ruby
dynamic,976,Ruby
progress,435,C#
clean-up,322,C++
facilitate,19,Ruby
quiet,195,Java
safe,384,JavaScript
polished,137,C++
love,214,JavaScript
ready,985,PHP
proper,1007,C
accessible,12,Ruby
properly,1677,C
faster,360,C++
simplifying,408,Python
useful,75,C++
advanced,270,Python
improves,399,PHP
correctly,848,C
improvement,198,C#
protect,242,PHP
enough,41,Java
recover,168,Ruby
recommend,106,Python
upgraded,2654,Ruby
easy,90,C
stable,363,Python
trust,34,Java
nicer,393,PHP
properly,1759,Ruby
dynamic,601,C
feat(transition,15,JavaScript
welcome,205,Python
improvement,869,JavaScript
pre-work,15,JavaScript
boost,161,Ruby
works,1027,Python
best,136,C++
flexible,41,Ruby
integrated,112,Shell
harmony,11,C++
improve,1618,C#
patient,41,Python
simplifying,843,JavaScript
best,157,Python
re-worked,39,Python
clear,441,Objective-C
simpler,234,Java
restored,909,Python
unity,166,JavaScript
fine,321,Ruby
restructure,645,PHP
upgraded,628,Shell
snazzy,11,Ruby
ready,571,C
important,216,Python
pretty,824,Java
boost,82,Shell
integrated,320,C#
stable,926,JavaScript
faster,296,Ruby
free,50,Objective-C
recover,240,Java
enrich,18,Python
commitment,33,Java
gracefully,221,Ruby
enhanced,822,Python
well,269,PHP
responsive,1012,Ruby
restructure,731,Java
tidy,1310,PHP
premier,211,PHP
tidy,273,Objective-C
skill,74,JavaScript
properly,1150,PHP
smart,37,C
simplified,429,Objective-C
easy,193,Python
awards,22,PHP
clean-up,224,Ruby
support,2322,Objective-C
right,904,JavaScript
bonus,110,JavaScript
fine,296,Python
improves,774,Ruby
pure,14,C#
improvements,877,C++
welcome,822,JavaScript
boom,154,Java
nice,357,Java
whoa,103,JavaScript
refreshing,95,Java
master,428,C++
sensible,37,Ruby
secure,241,JavaScript
pretty,700,Python
compatible,169,PHP
compatible,144,Ruby
correct,1022,Objective-C
restructuring,904,JavaScript
refreshing,44,Python
premier,207,JavaScript
premier,358,Java
right,173,C++
satisfied,12,JavaScript
recovery,769,C
quiet,89,JavaScript
significant,280,JavaScript
smarter,81,C++
yay,497,Ruby
work-around,11,Ruby
speedy,12,Shell
pure,69,Ruby
constructive,12,C++
cleaner,1068,JavaScript
enhance,908,PHP
clearer,220,Ruby
relaxed,86,Python
feat,84,Ruby
perfect,141,Java
restored,729,C++
breeze,90,Ruby
qualified,28,Java
supporting,82,C#
streamlined,249,JavaScript
dynamic,646,PHP
smarter,219,Ruby
stable,592,PHP
restructure,177,C#
feat(datepicker,36,JavaScript
solid,102,JavaScript
perfect,88,C++
important,275,PHP
fine,64,Objective-C
sweeping,48,C
boost.log,24218,Shell
right,399,Ruby
happy,135,Java
improvements,826,Shell
simplify,2321,C
lead,14,Java
winning,83,JavaScript
tidy,559,Shell
approval,19,PHP
in-progress,30,PHP
cleaner,369,PHP
clean-up,381,Python
great,98,Ruby
refresh,2079,JavaScript
perfect,43,Python
clear,1424,Python
accurate,12,PHP
skill,61,C++
redeem,26,PHP
happy,274,JavaScript
perfect,239,JavaScript
safe,78,C
win,277,JavaScript
quieter,20,JavaScript
leverage,34,Java
useful,55,PHP
successfully,204,C
promise,158,JavaScript
correctly,227,Objective-C
improvements,1022,Ruby
improvement,384,Python
sweet,125,JavaScript
right,70,C#
reward,20,Ruby
fresh,184,Java
golden,15,Python
beautify,414,JavaScript
available,101,JavaScript
happy,156,PHP
good,762,Ruby
lighter,234,JavaScript
safe,34,Shell
streamlined,159,Java
recover,104,PHP
winner,13,PHP
holy,150,Ruby
hero,219,JavaScript
proper,455,Shell
sparkle,38,Python
fine,727,JavaScript
happy,72,C++
recommend,39,Java
backbone.js,162,JavaScript
smooth,111,Python
great,78,PHP
available,46,Java
convenience,106,JavaScript
proper,239,Objective-C
led,65,Python
upgraded,1993,PHP
simplifying,207,C++
protect,506,Ruby
tender,40,PHP
restructure,479,C
restructuring,135,C#
transparent,22,C#
consistent,284,PHP
respect,228,C
speedy,20,PHP
clear,306,Shell
refreshed,144,Shell
colorful,15,Python
improvement,449,Ruby
transparent,70,Python
passion,98,C++
responsive,72,Java
best,19,Shell
pretty,132,Shell
easier,173,Ruby
silent,99,C
unity,222,C#
respect,386,Ruby
advanced,285,Ruby
refresh,434,C
restructuring,270,C++
good,327,C++
soft,46,Ruby
restored,252,Shell
success,1719,Shell
precise,29,Shell
success,195,Ruby
examples/form/dynamic.html,47,JavaScript
tidy,410,C#
examples/form/dynamic.js,118,JavaScript
templates/master.html,19,JavaScript
dedicated,36,JavaScript
refreshing,157,JavaScript
fancy,24,Objective-C
breeze,41,JavaScript
supports,260,Ruby
gracefully,128,JavaScript
consistently,77,Ruby
clean-up,281,PHP
glorious,133,C
cool,495,JavaScript
enhancement,251,Ruby
backbone,108,PHP
recommend,105,Ruby
recover,44,Objective-C
protect,302,C
enhanced,1246,Java
super,63,Objective-C
nicer,383,Java
bravo,76,C
like,256,PHP
cleared,333,Python
supporting,204,PHP
boom,38,C#
font-awesome,34,Ruby
welcome,688,Ruby
simplifying,141,C
eager,173,Ruby
readable,48,PHP
supported,164,Java
http://work.netxforge.com/issues/392,14,Java
stable,335,Ruby
simplifies,23,C++
successful,89,C++
restructured,227,Shell
refreshed,101,C
re-worked,40,Ruby
smarter,156,PHP
magic,73,C
revive,56,Python
streamlined,192,Python
clean-up,545,Java
fresh,184,Python
helpful,47,Python
unity-system-compositor-bzr,103,Shell
helpful,13,Objective-C
feat(jqlite,42,JavaScript
compact,129,Ruby
cleared,56,Shell
flexible,122,JavaScript
transparent,208,JavaScript
simpler,446,Ruby
welcome,345,Java
magical,16,Ruby
refinement,59,Python
woo,52,C++
sweet,42,Java
fresh,78,Shell
safe,34,Objective-C
upgraded,541,C
quiet,135,Python
encourage,13,C
pretty,288,C
swift,50,Python
streamlined,121,Ruby
clearer,385,JavaScript
optimal,21,C
heap-use-after-free,23,C++
feat(scenario,13,JavaScript
success,173,PHP
worked,1529,Ruby
wow,63,C#
smart,255,JavaScript
gem,54,Java
work-in-progress,19,Ruby
creative,81,Java
supports,55,C
smart,34,Objective-C
faster,120,PHP
great,36,Objective-C
improvements,438,Objective-C
wow,295,Ruby
complement,42,PHP
faster,89,C#
protect,331,Java
re-worked,81,JavaScript
strong,42,Java
clearer,76,C++
restructuring,359,PHP
fast,660,Java
tempting,24,Ruby
fairly,22,PHP
fav,32,Java
effective,14,C
led,373,C
magic,129,C++
nicer,700,Ruby
polished,207,Ruby
smile,51,JavaScript
protection,59,PHP
improving,245,C#
distinguished,12,JavaScript
protection,70,Java
best,224,Java
supporting,234,Python
woo,304,JavaScript
adaptive,65,C++
assertions.like,15,Python
beautify,236,C
perfect,43,PHP
important,112,C
magic,146,Python
recovery,87,JavaScript
progress,125,Shell
bonus,29,PHP
prefer,125,PHP
feat($animator,21,JavaScript
feat($route,49,JavaScript
great,148,Java
feat($http,36,JavaScript
smart,31,Shell
aeson-pretty,18,Shell
restored,175,Objective-C
strong,31,Objective-C
proper,1657,Java
refined,104,Objective-C
quieter,16,Shell
refreshed,107,Java
nice,1078,Python
creative,23,Ruby
hot,70,C++
grand,115,Shell
enhanced,408,C
empathy-ubuntu,17,Shell
refinement,49,PHP
important,64,C#
simpler,201,C++
silent,93,JavaScript
enhance,470,C
amazing,39,Java
consistently,87,Python
top-level,13,PHP
qualify,39,Ruby
sensible,38,Java
sane-backends,25,Shell
convenience,80,Objective-C
gl/gles/win/videocapture,12,C
achievements,71,Java
hot,187,Java
friendly,50,Java
easier,124,PHP
dawn-product,12,Java
enhance,802,Ruby
fine-tune,30,Ruby
interests,27,JavaScript
re-worked,32,C
fine-tune,35,JavaScript
top,571,Ruby
prompt,208,Python
enough,34,C
gem,70,Shell
mid-work,33,JavaScript
boom,24,C++
restructure,385,C++
fresh,77,C
successful,177,Java
refresh,739,PHP
nicer,311,C++
excel,192,Java
super,259,PHP
convenient,13,C++
skill,89,Java
improves,111,Objective-C
relaxed,50,PHP
portable,69,Java
cleared,358,Ruby
feature/attachment-improvements,148,PHP
super,307,Ruby
efficient,27,JavaScript
improves,387,Java
skill,46,Ruby
compatible,226,JavaScript
sexy,34,PHP
refreshed,121,PHP
pretty,371,PHP
easing,113,JavaScript
improving,366,Shell
hot-fix,29,JavaScript
logical,30,PHP
holy,21,Shell
win,364,C++
yay,705,Java
interesting,28,C++
master,784,Python
quiet,186,Ruby
likes,26,Java
lighter,53,Ruby
smooth,20,Shell
cute,16,Python
classic,11,C#
boost,85,Python
agile,123,C++
faster,138,Shell
improves,187,C++
smarter,76,C
clears,87,JavaScript
promise,26,Ruby
streamlined,34,Objective-C
polished,246,Python
favor,22,C++
respect,92,Objective-C
protect,41,Objective-C
clarity,77,JavaScript
pretty,110,Objective-C
positive,13,Python
quieter,13,Ruby
useful,150,Python
sublime,378,Python
win,309,C
love,35,PHP
nice,286,PHP
smooth,234,Java
delicate,11,JavaScript
achievements,30,Ruby
modern,78,Objective-C
best,364,JavaScript
rectification,73,Java
simplifying,269,PHP
whoa,46,Java
reliable,17,Python
simpler,179,C
cool,212,Java
led,12,PHP
respect,303,JavaScript
fine-tuning,13,PHP
yay,285,C++
rapport,59,PHP
prefer,300,C
rapport,47,JavaScript
creative,28,PHP
fancy,68,Shell
free,269,JavaScript
restructuring,523,Python
sublime,315,JavaScript
enhancement,128,C++
awesome,196,Java
yay,129,Objective-C
clearer,100,PHP
ipv6-support,46,C
recovery,226,Shell
tickle,17,JavaScript
boom,844,Ruby
workable,48,Java
seamless,16,JavaScript
interesting,24,Java
ideal,20,JavaScript
hot,264,PHP
freedom,21,C
gst-plugins-good,18,C
complement,31,C++
pure,131,JavaScript
core/achievements,51,C++
fast,193,Ruby
whoa,65,Ruby
relaxed,141,Ruby
assure,15,Ruby
respect,292,Python
respect,170,C++
easy,108,PHP
silent,71,Python
clean-up,676,JavaScript
fresh,294,Ruby
wow,269,Python
achievements,51,JavaScript
stronger,49,JavaScript
top,145,C
premier,47,C
gold,26,Ruby
cleanly,42,Python
secure,257,PHP
facilitate,15,Python
properly,303,C#
free,160,Java
woo,73,PHP
improvement,615,PHP
like,144,Java
modern,706,C++
fortune,14,Python
hero,43,Objective-C
fairly,41,Python
simplifying,393,Ruby
enhances,72,JavaScript
fine-tuned,16,Python
recommend,124,JavaScript
smarter,80,Shell
prefer,150,Shell
improvement,326,C++
balanced,77,Java
cleared,675,JavaScript
prefer,277,C++
hooray,43,Java
compatible,66,C++
hero,95,Ruby
classic,51,PHP
approval,41,JavaScript
enrich,12,PHP
refresh,377,C++
smart,140,Python
smooth,382,JavaScript
integrated,537,C
supporting,67,C
like,55,C
grand,26,C++
worked,195,Shell
prompt,119,Java
approve,17,Python
accurate,24,Python
hot,194,Python
restful,122,JavaScript
work-around,36,JavaScript
boom,472,JavaScript
usable,52,JavaScript
cool,125,C++
simplifies,61,Python
bravo,44,Shell
great,213,JavaScript
protect,344,Python
pep,59,JavaScript
secure,98,Python
gold,137,JavaScript
beautify,143,Python
recommended,16,Objective-C
cleaner,177,Shell
workable,11,C#
unity,28,Java
work-in-progress,59,Java
honor,77,Java
easier,110,Java
like,29,C#
beauty,62,JavaScript
stable/apply_it,13,Shell
woo,376,Ruby
refined,406,PHP
premier,102,C++
great,101,Python
secure,260,Ruby
fancier,20,Java
success,33,C#
feat($compile,66,JavaScript
useful,97,Java
sexy,71,Ruby
feat(nganimate,52,JavaScript
portable,70,C
improvement,292,C
refreshing,93,PHP
rich,45,Java
gems,234,JavaScript
successful,35,Objective-C
significant,243,Java
prefer,188,Java
achievement,17,Python
streamlined,63,C
eloquent,21,JavaScript
valor,25,PHP
fast,387,C
gnome-control-center-unity,11,Shell
winning,77,Java
works,159,Shell
work-in-progress,17,Shell
great,21,Shell
favorite,25,Objective-C
good,350,PHP
patient,84,Ruby
prefer,216,Python
realistic,14,JavaScript
fine-grained,22,C++
elite,29,C
love,27,Python
stable,197,Shell
supported,43,Objective-C
free,140,PHP
stable,139,C#
beautiful,26,PHP
advanced,97,C++
handy,22,PHP
soft,49,C
responsive,12,C
tender,11,JavaScript
speedy,59,JavaScript
consistently,85,C++
restful,112,PHP
free,103,Python
feat,49,Java
win,180,Java
thread-safe,27,C++
easier,33,C#
refinement,84,Ruby
restful,48,Python
rational,16,JavaScript
supported,380,JavaScript
honor,105,Python
precise,16,C++
smile,14,PHP
yay,311,PHP
right-click,31,Java
compact,159,JavaScript
feat(ngrepeat,31,JavaScript
approval,28,C++
refine,115,C#
yay,186,C
slick,51,Java
recommendations,14,PHP
smooth,34,C#
fav,117,JavaScript
hero,46,C#
leverage,46,Python
fine-tuned,11,C++
gold,52,Java
polished,420,JavaScript
stabilize,17,Python
consistently,12,Shell
fancy,93,C++
quicker,11,C
fancier,18,C++
modern,206,JavaScript
achievement,15,C#
right,362,Java
adaptive,61,Python
improves,121,C
cool,114,C
fancier,19,PHP
compact,118,Java
home/work,14,Java
fast,357,C++
worked,284,Objective-C
magic.slider,12,JavaScript
cheapest.py,12,Python
golden,35,Java
properly,324,Objective-C
rapport,82,Python
gracefully,241,Python
unity,38,C++
super,97,C#
survival,24,Java
lighter,36,Python
smoothly,11,JavaScript
lead,92,JavaScript
nice,447,Ruby
smooth,98,C
perfect,32,C
clean-ups,27,Python
fresh,104,C++
recovery,93,Python
feat(graphs.graph,11,JavaScript
clarity,43,Python
portable,59,C#
lovely,14,Python
nicely,31,JavaScript
easier,184,Python
selective,19,C++
good,303,C
amazing,31,PHP
refresh,240,Shell
refinement,69,Java
smarter,246,Python
dawn,95,Java
top,326,Python
right,164,C
recovery,54,Ruby
fine,80,Shell
worth,15,JavaScript
work-ver-1,58,JavaScript
tickle,27,Ruby
reformed,20,Java
fun,142,C
rectification,65,PHP
supporting,40,Shell
hooray,79,JavaScript
master,450,Shell
reward,50,Java
recommendations,46,Ruby
swift,18,C++
skill,40,C
gem,41,Objective-C
favorite,126,JavaScript
refined,316,C++
significant,89,PHP
gracefully,44,C++
sexy,11,Objective-C
prize,18,JavaScript
popular,16,Java
stronger,26,PHP
refined,106,Shell
shine,18,C
fans,14,PHP
refine,566,PHP
cleaner,625,Ruby
thank,99,Java
neat,22,Python
durable,26,Java
soft,92,Java
success,356,JavaScript
super,150,C++
smarter,389,JavaScript
right,62,Shell
enhancement,399,JavaScript
won't,48,Python
recommended,24,Python
restructuring,250,C
hooray,17,C++
dedicated,30,C#
easy,209,JavaScript
backbone,81,Python
stable,233,Objective-C
enhancement,209,Python
heaven,30,C++
reasonable,33,JavaScript
straighten,20,Ruby
safely,32,Ruby
work-around,34,C
awesome,89,C
refreshed,65,C++
prompt,186,Ruby
holy,136,Python
variety,11,Ruby
golden,21,JavaScript
transparent,18,Objective-C
simplifies,36,C
refresh,619,Python
secure,119,Java
popular,73,JavaScript
progressive,13,C
yay,113,Shell
pretty-print,15,C++
holy,34,C#
top,94,Objective-C
adaptive,82,Java
interesting,58,Python
dedicated,17,C++
lectures/.~lock.27-interfaces-and-invariants-and-dynamic-memory-allocation.pptx,14,C++
recommendation,17,Python
stabilize,60,Java
prefer,398,JavaScript
trust,82,JavaScript
talent,20,JavaScript
fb-like,23,JavaScript
recover,73,C
fancier,24,Python
bloom,52,Python
clearer,97,Java
woo,157,Objective-C
work-around,40,Java
guarantee,20,Ruby
lightdm-unity-greeter,42,Shell
simplifying,84,C#
easy,29,Objective-C
prefer,55,C#
right,69,Objective-C
thank,213,JavaScript
thread-safe,32,Java
recover,43,C#
soft,102,Python
advanced,303,PHP
neat,17,Ruby
autonomous,20,C++
distinction,19,JavaScript
enhances,49,Ruby
joy,12,JavaScript
padding-top,14,PHP
sane,64,Python
successfully,107,Objective-C
precise,57,JavaScript
saver,13,Java
fast,126,PHP
inspire,13,JavaScript
restructuring,63,Shell
protection,44,C++
refreshed,91,Ruby
best,32,C#
quiet,39,Objective-C
streamlined,99,C++
easy,245,Java
thrift,103,Java
enhance,137,Shell
work-in-progress,135,Python
nicer,240,C
usable,11,C
smarter,35,C#
strong,126,Ruby
good,135,Objective-C
approve,44,Ruby
favorite,61,Ruby
leverage,60,JavaScript
nice,105,Shell
convenience,16,C#
victory,39,Java
grand,18,Python
successfully,309,Python
restful,112,Java
favor,82,Ruby
fav,16,Python
smart,103,C++
boost::mpl,40,C++
stylized,27,PHP
clever,15,Python
glowing,17,Java
convenience,59,C++
solid,40,C++
unlimited,33,JavaScript
rich,93,Ruby
eager,32,Java
safe,136,Ruby
appropriate,32,Python
easier,51,C
won,25,JavaScript
stylized,155,JavaScript
re-worked,73,PHP
eager,18,PHP
restructuring,247,Ruby
boost,153,C
like,53,C++
success,59,Objective-C
quiet,73,C++
refined,202,C
stable,375,C
magic,173,Java
awesome,192,Python
bloom,83,C++
distinction,14,Python
gold,26,C++
ready,182,Shell
renewed,15,PHP
smooth,43,PHP
wow,102,C++
restructured,330,C#
gracefully,65,Java
fine,178,C
stylish,24,Ruby
transparent,37,C++
responsive,237,Python
readable,80,JavaScript
novemberdemo+bft-smart,19,Java
nice,207,C++
clears,51,Java
leading,25,PHP
grand,25,JavaScript
popular,47,PHP
creative,75,JavaScript
hero,75,PHP
approve,76,JavaScript
flourish,13,PHP
supported,86,PHP
perfect,18,C#
harmonize,49,JavaScript
consistent,357,Ruby
rich,55,C++
fun,32,Objective-C
top,127,C++
honor,71,PHP
safe,175,Java
skill,28,C#
love,68,Ruby
beauty,34,Java
recommendations,22,Python
workable,47,JavaScript
ready,285,Objective-C
available,16,Objective-C
nicer,86,Objective-C
fast-forward,15,C++
feat(grunt,22,JavaScript
stylish,43,JavaScript
simplifies,148,JavaScript
top-level,22,Ruby
precise/python,11,Shell
like,142,Python
bravo,120,C++
correctly,166,C#
clarity,25,PHP
robust,62,JavaScript
refine,161,Objective-C
recommendations,31,JavaScript
interesting,14,Ruby
assure,39,JavaScript
wow,58,Shell
restructure,135,Objective-C
protect,41,C#
satisfy,39,Ruby
polished,147,PHP
integrated,333,Objective-C
significant,53,Objective-C
unlimited,12,Python
logical,53,Java
prompt,51,PHP
happy,48,C
finer,29,C
survival,15,JavaScript
enhance,105,C#
clearer,66,C
reliable,29,JavaScript
happy,19,Shell
re-worked,15,Shell
