word,count,language,type
right,372,PHP,positive
refined,596,Python,positive
success,81,C++,positive
feat,1255,JavaScript,positive
bonus,147,Java,positive
correct,2666,Shell,positive
tidy,2060,Ruby,positive
clean,8101,PHP,positive
restructure,870,Python,positive
smart,27,C#,positive
fresh,503,JavaScript,positive
enhance,658,Python,positive
upgraded,1121,Python,positive
tidy,1534,Python,positive
feat,289,Python,positive
clear,3903,JavaScript,positive
cleared,342,PHP,positive
ready,1732,Ruby,positive
favor,27,Java,positive
fun,128,Python,positive
correct,991,C#,positive
upgraded,519,C++,positive
ready,1341,Python,positive
consistent,298,Java,positive
well,270,C++,positive
cool,259,Ruby,positive
available,54,Python,positive
properly,2044,Python,positive
stable,789,Java,positive
awards,38,JavaScript,positive
cleaner,747,Python,positive
recover,137,C++,positive
fine,281,PHP,positive
protect,230,C++,positive
lovely,43,JavaScript,positive
enhanced,823,PHP,positive
stability,76,Java,positive
work,4880,PHP,positive
important,441,Java,positive
tidy,945,C,positive
proper,1206,C++,positive
pure,55,C,positive
simplest,49,Ruby,positive
fancy,465,JavaScript,positive
fast,455,JavaScript,positive
prompt,403,Shell,positive
backbone,1310,JavaScript,positive
beautiful,61,Python,positive
better,5621,C,positive
refine,202,Shell,positive
restructured,611,C++,positive
ease,19,C,positive
awesome,280,Ruby,positive
clean-up,248,C,positive
successful,147,Ruby,positive
ready,253,C#,positive
consistent,589,JavaScript,positive
worked,1088,C,positive
correct,5869,C,positive
yay,1167,JavaScript,positive
consistent,57,C#,positive
woo,162,Java,positive
wow,535,JavaScript,positive
significant,121,C++,positive
works,748,C++,positive
patient,151,Java,positive
patient,182,JavaScript,positive
super,673,JavaScript,positive
top,1246,JavaScript,positive
enhanced,245,Shell,positive
enhancement,1482,PHP,positive
refine,1831,JavaScript,positive
feat($parse,47,JavaScript,positive
simpler,511,Python,positive
successfully,496,Java,positive
robust,22,C++,positive
relaxed,83,Java,positive
magic,172,PHP,positive
shiny,48,JavaScript,positive
fine,50,C#,positive
clearer,42,Shell,positive
welcome,394,PHP,positive
succes,12,JavaScript,positive
enhance,1462,JavaScript,positive
smooth,29,Objective-C,positive
glow,45,Java,positive
enhanced,592,Ruby,positive
work,1004,Shell,positive
recover,123,Python,positive
pretty,827,Ruby,positive
hero,48,Python,positive
clear,1132,C,positive
wow,144,C,positive
clear,406,C#,positive
upgraded,297,Objective-C,positive
faster,337,C,positive
well,317,C,positive
heal,32,Java,positive
awesome,57,Objective-C,positive
tidy,989,C++,positive
success,231,Java,positive
advanced,484,JavaScript,positive
rapid,33,PHP,positive
clearly,29,Java,positive
refined,687,Ruby,positive
like,256,Ruby,positive
supporting,234,Ruby,positive
refine,1025,Java,positive
fav,46,PHP,positive
restructured,2054,JavaScript,positive
decent,75,JavaScript,positive
properly,1260,C++,positive
works,823,Ruby,positive
reconcile,182,Java,positive
restructured,1245,Java,positive
important,68,Shell,positive
supports,350,JavaScript,positive
successfully,542,JavaScript,positive
worked,840,C#,positive
free,1097,C,positive
properly,1673,Java,positive
nice,156,C,positive
polished,465,Java,positive
rich,86,JavaScript,positive
ready,2658,JavaScript,positive
prompt,333,JavaScript,positive
stable,471,C++,positive
silent,80,Shell,positive
respect,356,PHP,positive
proper,1842,Python,positive
restructured,532,Ruby,positive
support,2289,Shell,positive
well,500,Java,positive
nice,815,JavaScript,positive
graceful,29,Java,positive
refined,207,C#,positive
yay,108,C#,positive
restructured,1197,Python,positive
cleaner,326,C++,positive
prompt,67,C,positive
boost,1150,C++,positive
restored,662,C,positive
feat(lua,68,C++,positive
excel,233,PHP,positive
backbone,368,Ruby,positive
magic,167,Ruby,positive
fun,222,Ruby,positive
interesting,41,JavaScript,positive
top,348,Java,positive
proper,1473,Ruby,positive
correctly,217,Shell,positive
important,406,JavaScript,positive
flexible,80,PHP,positive
significant,58,C,positive
clean,2359,C#,positive
works,192,Objective-C,positive
works,660,C,positive
well,373,Ruby,positive
cleaner,325,C,positive
fast,426,Python,positive
good,488,Python,positive
refresh,779,Ruby,positive
super,255,Python,positive
respect,226,Java,positive
smart,139,Ruby,positive
refresh,342,Objective-C,positive
awesome,537,JavaScript,positive
fine-tuned,72,JavaScript,positive
correctly,1732,JavaScript,positive
safe,207,Python,positive
restructuring,465,Java,positive
quiet,114,Shell,positive
supports,173,Python,positive
proper,1215,PHP,positive
refresh,1391,Java,positive
backbone-sources,15,Shell,positive
fast,46,Shell,positive
quiet,153,C,positive
grin,16,Java,positive
fancy,153,Python,positive
build/win,29,C,positive
slick,84,JavaScript,positive
yay,517,Python,positive
restored,847,Ruby,positive
compatible,74,C,positive
clear,1245,C++,positive
nice,48,C#,positive
happy,112,Python,positive
excel,290,JavaScript,positive
better,2318,Objective-C,positive
refine,870,Python,positive
worked,1424,PHP,positive
fancier,36,Ruby,positive
tidy,1551,Java,positive
restored,1778,JavaScript,positive
led,52,C++,positive
lead,58,PHP,positive
patient,114,PHP,positive
work,1509,C#,positive
likes,141,Ruby,positive
restored,822,PHP,positive
responsive,1503,PHP,positive
fun,112,PHP,positive
restructured,664,PHP,positive
super,463,Java,positive
refine,523,C,positive
honor,197,C,positive
recomend,33,Python,positive
fine,825,Java,positive
nicer,732,Python,positive
hot,507,JavaScript,positive
revive,39,JavaScript,positive
worked,1080,C++,positive
refined,954,Java,positive
wow,50,Objective-C,positive
top,720,PHP,positive
support,2246,C#,positive
cool,367,Python,positive
properly,396,Shell,positive
pretty,108,C#,positive
restful,113,Ruby,positive
wd-work,78,JavaScript,positive
cleared,209,C++,positive
refresh,283,C#,positive
successful,202,JavaScript,positive
refined,1245,JavaScript,positive
beautify,127,PHP,positive
right,312,Python,positive
recovery,122,C++,positive
sublime,91,PHP,positive
restructured,438,C,positive
reformed,21,JavaScript,positive
rectify,26,Ruby,positive
award,24,Python,positive
hot,281,Ruby,positive
fresh,252,PHP,positive
well,487,Python,positive
adaptive,62,C,positive
successfully,401,Ruby,positive
fun,377,JavaScript,positive
like,517,JavaScript,positive
proper,314,C#,positive
fancy,181,Ruby,positive
supported,206,C++,positive
feat(release,28,JavaScript,positive
led,166,Java,positive
capability,14,Python,positive
available,52,PHP,positive
enhanced,322,C++,positive
clean-up,69,Objective-C,positive
bloom,114,C,positive
feat(osx,16,Shell,positive
usable,22,C++,positive
approve,51,PHP,positive
promises,73,JavaScript,positive
cool,56,C#,positive
cleaner,501,Java,positive
smoother,45,Python,positive
fine,154,C++,positive
refreshed,221,JavaScript,positive
correctly,1160,Java,positive
advanced,61,C#,positive
important,193,C++,positive
thank,133,Ruby,positive
good,107,Shell,positive
refine,1205,Ruby,positive
clean-up,322,C++,positive
facilitate,19,Ruby,positive
quiet,195,Java,positive
safe,384,JavaScript,positive
polished,137,C++,positive
love,214,JavaScript,positive
ready,985,PHP,positive
proper,1007,C,positive
accessible,12,Ruby,positive
properly,1677,C,positive
faster,360,C++,positive
useful,75,C++,positive
advanced,270,Python,positive
correctly,848,C,positive
protect,242,PHP,positive
recover,168,Ruby,positive
recommend,106,Python,positive
upgraded,2654,Ruby,positive
easy,90,C,positive
stable,363,Python,positive
trust,34,Java,positive
nicer,393,PHP,positive
properly,1759,Ruby,positive
feat(transition,15,JavaScript,positive
welcome,205,Python,positive
pre-work,15,JavaScript,positive
boost,161,Ruby,positive
works,1027,Python,positive
best,136,C++,positive
flexible,41,Ruby,positive
harmony,11,C++,positive
patient,41,Python,positive
best,157,Python,positive
re-worked,39,Python,positive
clear,441,Objective-C,positive
simpler,234,Java,positive
restored,909,Python,positive
unity,166,JavaScript,positive
fine,321,Ruby,positive
restructure,645,PHP,positive
upgraded,628,Shell,positive
snazzy,11,Ruby,positive
ready,571,C,positive
important,216,Python,positive
pretty,824,Java,positive
boost,82,Shell,positive
stable,926,JavaScript,positive
faster,296,Ruby,positive
free,50,Objective-C,positive
recover,240,Java,positive
enrich,18,Python,positive
commitment,33,Java,positive
gracefully,221,Ruby,positive
enhanced,822,Python,positive
well,269,PHP,positive
responsive,1012,Ruby,positive
restructure,731,Java,positive
tidy,1310,PHP,positive
premier,211,PHP,positive
tidy,273,Objective-C,positive
properly,1150,PHP,positive
smart,37,C,positive
easy,193,Python,positive
awards,22,PHP,positive
clean-up,224,Ruby,positive
support,2322,Objective-C,positive
right,904,JavaScript,positive
bonus,110,JavaScript,positive
fine,296,Python,positive
pure,14,C#,positive
welcome,822,JavaScript,positive
boom,154,Java,positive
nice,357,Java,positive
whoa,103,JavaScript,positive
refreshing,95,Java,positive
sensible,37,Ruby,positive
secure,241,JavaScript,positive
pretty,700,Python,positive
compatible,169,PHP,positive
compatible,144,Ruby,positive
correct,1022,Objective-C,positive
restructuring,904,JavaScript,positive
refreshing,44,Python,positive
premier,207,JavaScript,positive
premier,358,Java,positive
right,173,C++,positive
satisfied,12,JavaScript,positive
recovery,769,C,positive
quiet,89,JavaScript,positive
significant,280,JavaScript,positive
smarter,81,C++,positive
yay,497,Ruby,positive
work-around,11,Ruby,positive
speedy,12,Shell,positive
pure,69,Ruby,positive
constructive,12,C++,positive
cleaner,1068,JavaScript,positive
enhance,908,PHP,positive
clearer,220,Ruby,positive
relaxed,86,Python,positive
feat,84,Ruby,positive
perfect,141,Java,positive
restored,729,C++,positive
breeze,90,Ruby,positive
qualified,28,Java,positive
supporting,82,C#,positive
streamlined,249,JavaScript,positive
smarter,219,Ruby,positive
stable,592,PHP,positive
restructure,177,C#,positive
feat(datepicker,36,JavaScript,positive
solid,102,JavaScript,positive
perfect,88,C++,positive
important,275,PHP,positive
fine,64,Objective-C,positive
sweeping,48,C,positive
boost.log,24218,Shell,positive
right,399,Ruby,positive
happy,135,Java,positive
lead,14,Java,positive
winning,83,JavaScript,positive
tidy,559,Shell,positive
approval,19,PHP,positive
cleaner,369,PHP,positive
clean-up,381,Python,positive
great,98,Ruby,positive
refresh,2079,JavaScript,positive
perfect,43,Python,positive
clear,1424,Python,positive
accurate,12,PHP,positive
redeem,26,PHP,positive
happy,274,JavaScript,positive
perfect,239,JavaScript,positive
safe,78,C,positive
win,277,JavaScript,positive
quieter,20,JavaScript,positive
leverage,34,Java,positive
useful,55,PHP,positive
successfully,204,C,positive
promise,158,JavaScript,positive
correctly,227,Objective-C,positive
sweet,125,JavaScript,positive
right,70,C#,positive
reward,20,Ruby,positive
fresh,184,Java,positive
beautify,414,JavaScript,positive
available,101,JavaScript,positive
happy,156,PHP,positive
good,762,Ruby,positive
lighter,234,JavaScript,positive
safe,34,Shell,positive
streamlined,159,Java,positive
recover,104,PHP,positive
winner,13,PHP,positive
hero,219,JavaScript,positive
proper,455,Shell,positive
sparkle,38,Python,positive
fine,727,JavaScript,positive
happy,72,C++,positive
recommend,39,Java,positive
backbone.js,162,JavaScript,positive
smooth,111,Python,positive
great,78,PHP,positive
available,46,Java,positive
convenience,106,JavaScript,positive
proper,239,Objective-C,positive
led,65,Python,positive
upgraded,1993,PHP,positive
protect,506,Ruby,positive
tender,40,PHP,positive
restructure,479,C,positive
restructuring,135,C#,positive
transparent,22,C#,positive
consistent,284,PHP,positive
respect,228,C,positive
speedy,20,PHP,positive
clear,306,Shell,positive
refreshed,144,Shell,positive
colorful,15,Python,positive
transparent,70,Python,positive
passion,98,C++,positive
responsive,72,Java,positive
best,19,Shell,positive
pretty,132,Shell,positive
easier,173,Ruby,positive
silent,99,C,positive
unity,222,C#,positive
respect,386,Ruby,positive
advanced,285,Ruby,positive
refresh,434,C,positive
restructuring,270,C++,positive
good,327,C++,positive
soft,46,Ruby,positive
restored,252,Shell,positive
success,1719,Shell,positive
precise,29,Shell,positive
success,195,Ruby,positive
tidy,410,C#,positive
dedicated,36,JavaScript,positive
refreshing,157,JavaScript,positive
fancy,24,Objective-C,positive
breeze,41,JavaScript,positive
supports,260,Ruby,positive
gracefully,128,JavaScript,positive
consistently,77,Ruby,positive
clean-up,281,PHP,positive
glorious,133,C,positive
cool,495,JavaScript,positive
enhancement,251,Ruby,positive
backbone,108,PHP,positive
recommend,105,Ruby,positive
recover,44,Objective-C,positive
protect,302,C,positive
enhanced,1246,Java,positive
super,63,Objective-C,positive
nicer,383,Java,positive
bravo,76,C,positive
like,256,PHP,positive
cleared,333,Python,positive
supporting,204,PHP,positive
boom,38,C#,positive
font-awesome,34,Ruby,positive
welcome,688,Ruby,positive
eager,173,Ruby,positive
readable,48,PHP,positive
supported,164,Java,positive
http://work.netxforge.com/issues/392,14,Java,positive
stable,335,Ruby,positive
successful,89,C++,positive
restructured,227,Shell,positive
refreshed,101,C,positive
re-worked,40,Ruby,positive
smarter,156,PHP,positive
magic,73,C,positive
revive,56,Python,positive
streamlined,192,Python,positive
clean-up,545,Java,positive
fresh,184,Python,positive
helpful,47,Python,positive
unity-system-compositor-bzr,103,Shell,positive
helpful,13,Objective-C,positive
feat(jqlite,42,JavaScript,positive
compact,129,Ruby,positive
cleared,56,Shell,positive
flexible,122,JavaScript,positive
transparent,208,JavaScript,positive
simpler,446,Ruby,positive
welcome,345,Java,positive
magical,16,Ruby,positive
refinement,59,Python,positive
woo,52,C++,positive
sweet,42,Java,positive
fresh,78,Shell,positive
safe,34,Objective-C,positive
upgraded,541,C,positive
quiet,135,Python,positive
encourage,13,C,positive
pretty,288,C,positive
swift,50,Python,positive
streamlined,121,Ruby,positive
clearer,385,JavaScript,positive
optimal,21,C,positive
heap-use-after-free,23,C++,positive
feat(scenario,13,JavaScript,positive
success,173,PHP,positive
worked,1529,Ruby,positive
wow,63,C#,positive
smart,255,JavaScript,positive
work-in-progress,19,Ruby,positive
creative,81,Java,positive
supports,55,C,positive
smart,34,Objective-C,positive
faster,120,PHP,positive
great,36,Objective-C,positive
wow,295,Ruby,positive
complement,42,PHP,positive
faster,89,C#,positive
protect,331,Java,positive
re-worked,81,JavaScript,positive
strong,42,Java,positive
clearer,76,C++,positive
restructuring,359,PHP,positive
fast,660,Java,positive
tempting,24,Ruby,positive
fairly,22,PHP,positive
fav,32,Java,positive
effective,14,C,positive
led,373,C,positive
magic,129,C++,positive
nicer,700,Ruby,positive
polished,207,Ruby,positive
smile,51,JavaScript,positive
protection,59,PHP,positive
distinguished,12,JavaScript,positive
protection,70,Java,positive
best,224,Java,positive
supporting,234,Python,positive
woo,304,JavaScript,positive
adaptive,65,C++,positive
assertions.like,15,Python,positive
beautify,236,C,positive
perfect,43,PHP,positive
important,112,C,positive
magic,146,Python,positive
recovery,87,JavaScript,positive
bonus,29,PHP,positive
prefer,125,PHP,positive
feat($animator,21,JavaScript,positive
feat($route,49,JavaScript,positive
great,148,Java,positive
feat($http,36,JavaScript,positive
smart,31,Shell,positive
aeson-pretty,18,Shell,positive
restored,175,Objective-C,positive
strong,31,Objective-C,positive
proper,1657,Java,positive
refined,104,Objective-C,positive
quieter,16,Shell,positive
refreshed,107,Java,positive
nice,1078,Python,positive
creative,23,Ruby,positive
hot,70,C++,positive
grand,115,Shell,positive
enhanced,408,C,positive
empathy-ubuntu,17,Shell,positive
refinement,49,PHP,positive
important,64,C#,positive
simpler,201,C++,positive
silent,93,JavaScript,positive
enhance,470,C,positive
amazing,39,Java,positive
consistently,87,Python,positive
top-level,13,PHP,positive
qualify,39,Ruby,positive
sensible,38,Java,positive
sane-backends,25,Shell,positive
convenience,80,Objective-C,positive
gl/gles/win/videocapture,12,C,positive
achievements,71,Java,positive
hot,187,Java,positive
friendly,50,Java,positive
easier,124,PHP,positive
dawn-product,12,Java,positive
enhance,802,Ruby,positive
fine-tune,30,Ruby,positive
interests,27,JavaScript,positive
re-worked,32,C,positive
fine-tune,35,JavaScript,positive
top,571,Ruby,positive
prompt,208,Python,positive
mid-work,33,JavaScript,positive
boom,24,C++,positive
restructure,385,C++,positive
fresh,77,C,positive
successful,177,Java,positive
refresh,739,PHP,positive
nicer,311,C++,positive
excel,192,Java,positive
super,259,PHP,positive
convenient,13,C++,positive
relaxed,50,PHP,positive
portable,69,Java,positive
cleared,358,Ruby,positive
super,307,Ruby,positive
efficient,27,JavaScript,positive
compatible,226,JavaScript,positive
sexy,34,PHP,positive
refreshed,121,PHP,positive
pretty,371,PHP,positive
easing,113,JavaScript,positive
hot-fix,29,JavaScript,positive
logical,30,PHP,positive
win,364,C++,positive
yay,705,Java,positive
interesting,28,C++,positive
quiet,186,Ruby,positive
likes,26,Java,positive
lighter,53,Ruby,positive
smooth,20,Shell,positive
cute,16,Python,positive
classic,11,C#,positive
boost,85,Python,positive
agile,123,C++,positive
faster,138,Shell,positive
smarter,76,C,positive
clears,87,JavaScript,positive
promise,26,Ruby,positive
streamlined,34,Objective-C,positive
polished,246,Python,positive
favor,22,C++,positive
respect,92,Objective-C,positive
protect,41,Objective-C,positive
clarity,77,JavaScript,positive
pretty,110,Objective-C,positive
positive,13,Python,positive
quieter,13,Ruby,positive
useful,150,Python,positive
sublime,378,Python,positive
win,309,C,positive
love,35,PHP,positive
nice,286,PHP,positive
smooth,234,Java,positive
delicate,11,JavaScript,positive
achievements,30,Ruby,positive
modern,78,Objective-C,positive
best,364,JavaScript,positive
rectification,73,Java,positive
whoa,46,Java,positive
reliable,17,Python,positive
simpler,179,C,positive
cool,212,Java,positive
led,12,PHP,positive
respect,303,JavaScript,positive
fine-tuning,13,PHP,positive
yay,285,C++,positive
rapport,59,PHP,positive
prefer,300,C,positive
rapport,47,JavaScript,positive
creative,28,PHP,positive
fancy,68,Shell,positive
free,269,JavaScript,positive
restructuring,523,Python,positive
sublime,315,JavaScript,positive
enhancement,128,C++,positive
awesome,196,Java,positive
yay,129,Objective-C,positive
clearer,100,PHP,positive
ipv6-support,46,C,positive
recovery,226,Shell,positive
tickle,17,JavaScript,positive
boom,844,Ruby,positive
workable,48,Java,positive
seamless,16,JavaScript,positive
interesting,24,Java,positive
ideal,20,JavaScript,positive
hot,264,PHP,positive
freedom,21,C,positive
gst-plugins-good,18,C,positive
complement,31,C++,positive
pure,131,JavaScript,positive
core/achievements,51,C++,positive
fast,193,Ruby,positive
whoa,65,Ruby,positive
relaxed,141,Ruby,positive
assure,15,Ruby,positive
respect,292,Python,positive
respect,170,C++,positive
easy,108,PHP,positive
silent,71,Python,positive
clean-up,676,JavaScript,positive
fresh,294,Ruby,positive
wow,269,Python,positive
achievements,51,JavaScript,positive
stronger,49,JavaScript,positive
top,145,C,positive
premier,47,C,positive
cleanly,42,Python,positive
secure,257,PHP,positive
facilitate,15,Python,positive
properly,303,C#,positive
free,160,Java,positive
woo,73,PHP,positive
like,144,Java,positive
modern,706,C++,positive
fortune,14,Python,positive
hero,43,Objective-C,positive
fairly,41,Python,positive
enhances,72,JavaScript,positive
fine-tuned,16,Python,positive
recommend,124,JavaScript,positive
smarter,80,Shell,positive
prefer,150,Shell,positive
balanced,77,Java,positive
cleared,675,JavaScript,positive
prefer,277,C++,positive
hooray,43,Java,positive
compatible,66,C++,positive
hero,95,Ruby,positive
classic,51,PHP,positive
approval,41,JavaScript,positive
enrich,12,PHP,positive
refresh,377,C++,positive
smart,140,Python,positive
smooth,382,JavaScript,positive
supporting,67,C,positive
like,55,C,positive
grand,26,C++,positive
worked,195,Shell,positive
prompt,119,Java,positive
approve,17,Python,positive
accurate,24,Python,positive
hot,194,Python,positive
restful,122,JavaScript,positive
work-around,36,JavaScript,positive
boom,472,JavaScript,positive
usable,52,JavaScript,positive
cool,125,C++,positive
bravo,44,Shell,positive
great,213,JavaScript,positive
protect,344,Python,positive
pep,59,JavaScript,positive
secure,98,Python,positive
beautify,143,Python,positive
recommended,16,Objective-C,positive
cleaner,177,Shell,positive
workable,11,C#,positive
unity,28,Java,positive
work-in-progress,59,Java,positive
honor,77,Java,positive
easier,110,Java,positive
like,29,C#,positive
beauty,62,JavaScript,positive
stable/apply_it,13,Shell,positive
woo,376,Ruby,positive
refined,406,PHP,positive
premier,102,C++,positive
great,101,Python,positive
secure,260,Ruby,positive
fancier,20,Java,positive
success,33,C#,positive
feat($compile,66,JavaScript,positive
useful,97,Java,positive
sexy,71,Ruby,positive
feat(nganimate,52,JavaScript,positive
portable,70,C,positive
refreshing,93,PHP,positive
rich,45,Java,positive
successful,35,Objective-C,positive
significant,243,Java,positive
prefer,188,Java,positive
achievement,17,Python,positive
streamlined,63,C,positive
eloquent,21,JavaScript,positive
valor,25,PHP,positive
fast,387,C,positive
gnome-control-center-unity,11,Shell,positive
winning,77,Java,positive
works,159,Shell,positive
work-in-progress,17,Shell,positive
great,21,Shell,positive
favorite,25,Objective-C,positive
good,350,PHP,positive
patient,84,Ruby,positive
prefer,216,Python,positive
realistic,14,JavaScript,positive
fine-grained,22,C++,positive
elite,29,C,positive
love,27,Python,positive
stable,197,Shell,positive
supported,43,Objective-C,positive
free,140,PHP,positive
stable,139,C#,positive
beautiful,26,PHP,positive
advanced,97,C++,positive
handy,22,PHP,positive
soft,49,C,positive
responsive,12,C,positive
tender,11,JavaScript,positive
speedy,59,JavaScript,positive
consistently,85,C++,positive
restful,112,PHP,positive
free,103,Python,positive
feat,49,Java,positive
win,180,Java,positive
thread-safe,27,C++,positive
easier,33,C#,positive
refinement,84,Ruby,positive
restful,48,Python,positive
rational,16,JavaScript,positive
supported,380,JavaScript,positive
honor,105,Python,positive
precise,16,C++,positive
smile,14,PHP,positive
yay,311,PHP,positive
right-click,31,Java,positive
compact,159,JavaScript,positive
feat(ngrepeat,31,JavaScript,positive
approval,28,C++,positive
refine,115,C#,positive
yay,186,C,positive
slick,51,Java,positive
recommendations,14,PHP,positive
smooth,34,C#,positive
fav,117,JavaScript,positive
hero,46,C#,positive
leverage,46,Python,positive
fine-tuned,11,C++,positive
polished,420,JavaScript,positive
stabilize,17,Python,positive
consistently,12,Shell,positive
fancy,93,C++,positive
quicker,11,C,positive
fancier,18,C++,positive
modern,206,JavaScript,positive
achievement,15,C#,positive
right,362,Java,positive
adaptive,61,Python,positive
cool,114,C,positive
fancier,19,PHP,positive
compact,118,Java,positive
home/work,14,Java,positive
fast,357,C++,positive
worked,284,Objective-C,positive
magic.slider,12,JavaScript,positive
cheapest.py,12,Python,positive
properly,324,Objective-C,positive
rapport,82,Python,positive
gracefully,241,Python,positive
unity,38,C++,positive
super,97,C#,positive
survival,24,Java,positive
lighter,36,Python,positive
smoothly,11,JavaScript,positive
lead,92,JavaScript,positive
nice,447,Ruby,positive
smooth,98,C,positive
perfect,32,C,positive
clean-ups,27,Python,positive
fresh,104,C++,positive
recovery,93,Python,positive
feat(graphs.graph,11,JavaScript,positive
clarity,43,Python,positive
portable,59,C#,positive
lovely,14,Python,positive
nicely,31,JavaScript,positive
easier,184,Python,positive
selective,19,C++,positive
good,303,C,positive
amazing,31,PHP,positive
refresh,240,Shell,positive
refinement,69,Java,positive
smarter,246,Python,positive
dawn,95,Java,positive
top,326,Python,positive
right,164,C,positive
recovery,54,Ruby,positive
fine,80,Shell,positive
worth,15,JavaScript,positive
work-ver-1,58,JavaScript,positive
tickle,27,Ruby,positive
reformed,20,Java,positive
fun,142,C,positive
rectification,65,PHP,positive
supporting,40,Shell,positive
hooray,79,JavaScript,positive
reward,50,Java,positive
recommendations,46,Ruby,positive
swift,18,C++,positive
favorite,126,JavaScript,positive
refined,316,C++,positive
significant,89,PHP,positive
gracefully,44,C++,positive
sexy,11,Objective-C,positive
prize,18,JavaScript,positive
popular,16,Java,positive
stronger,26,PHP,positive
refined,106,Shell,positive
shine,18,C,positive
fans,14,PHP,positive
refine,566,PHP,positive
cleaner,625,Ruby,positive
thank,99,Java,positive
neat,22,Python,positive
durable,26,Java,positive
soft,92,Java,positive
success,356,JavaScript,positive
super,150,C++,positive
smarter,389,JavaScript,positive
right,62,Shell,positive
enhancement,399,JavaScript,positive
won't,48,Python,positive
recommended,24,Python,positive
restructuring,250,C,positive
hooray,17,C++,positive
dedicated,30,C#,positive
easy,209,JavaScript,positive
backbone,81,Python,positive
stable,233,Objective-C,positive
enhancement,209,Python,positive
heaven,30,C++,positive
reasonable,33,JavaScript,positive
straighten,20,Ruby,positive
safely,32,Ruby,positive
work-around,34,C,positive
awesome,89,C,positive
refreshed,65,C++,positive
prompt,186,Ruby,positive
variety,11,Ruby,positive
